cohort,set_a,set_b,n,jaccard_measured_clean_audit,shared,rho_clean_audit,n_a_declared,n_b_declared,n_shared_declared,jaccard_declared,n_shared_measured,jaccard_measured,n_shared_measured_clean,jaccard_measured_clean_upstream,rho_raw,n_obs_raw,rho_clean_upstream,n_obs_clean,rho_abs_error,jaccard_abs_error
GSE17538,S_mito,ferroptosis,232,0.0579902611775121,131,0.8526809138767106,1136,1679,138,0.0515502428091146,132,0.0583296509058771,131,0.0579902611775121,0.8552737036531618,232,0.8526809138767106,232,0.0,7.63278329429795e-17
GSE17538,S_mito,apoptosis,232,0.0155306298533218,18,0.7821777896515204,1136,138,20,0.0159489633173843,19,0.016365202411714,18,0.0155306298533218,0.7882061700324241,232,0.7821777896515204,232,0.0,2.949029909160572e-17
GSE17538,S_mito,necroptosis,232,0.0129310344827586,15,0.7160453132778127,1136,168,17,0.0132090132090132,17,0.0146299483648881,15,0.0129310344827586,0.7259580733015688,232,0.7160453132778127,232,0.0,2.0816681711721685e-17
GSE17538,S_mito,parthanatos,232,0.0081669691470054,9,0.7163086284737903,1136,78,10,0.0083056478405315,10,0.0090497737556561,9,0.0081669691470054,0.7295272435127398,232,0.7163086284737903,232,0.0,4.336808689942018e-17
GSE17538,S_mito,mitophagy,232,0.0242587601078167,27,0.7700624076234553,1136,104,31,0.0256410256410256,28,0.0251121076233183,27,0.0242587601078167,0.7751086415434496,232,0.7700624076234553,232,0.0,1.0408340855860844e-17
GSE17538,S_mito,oxstress,232,0.0187835420393559,21,0.802779801225857,1136,132,22,0.0176565008025682,21,0.0187165775401069,21,0.0187835420393559,0.81332586312607,232,0.802779801225857,232,0.0,9.367506770274757e-17
GSE17538,ferroptosis,apoptosis,232,0.0263340263340263,38,0.9331342772958872,1679,138,38,0.0213603147835862,38,0.0262612301313061,38,0.0263340263340263,0.935624239605296,232,0.9331342772958872,232,1.1102230246251563e-16,3.4694469519536136e-17
GSE17538,ferroptosis,necroptosis,232,0.0371669004207573,53,0.8209389397046639,1679,168,54,0.030117122141662,54,0.0377622377622377,53,0.0371669004207573,0.8267232249768878,232,0.8209389397046639,232,0.0,6.245004513516506e-17
GSE17538,ferroptosis,parthanatos,232,0.0313411078717201,43,0.8589706874448622,1679,78,44,0.0256859311150029,43,0.0312273057371096,43,0.0313411078717201,0.8677456183005982,232,0.8589706874448622,232,0.0,2.0816681711721685e-17
GSE17538,ferroptosis,mitophagy,232,0.027027027027027,38,0.8730465183772863,1679,104,40,0.0229489386115892,39,0.027679205110007,38,0.027027027027027,0.8768818867975295,232,0.8730465183772863,232,0.0,2.775557561562892e-17
