cohort,score,model,n,events,HR,lo95,hi95,p,n_params,EPV,covariates_used,dropped_constant,n_analysis_subset,note
TCGA-COADREAD,OX6,M1+mmr,232,35,1.03454688330093,0.7039234605980859,1.5204597000337257,0.8627457406760295,8,4.375,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,367,M1 + mmr
TCGA-COADREAD,OX6,M1(cc:side),365,85,0.9153832394842323,0.7352342033397473,1.1396728706613866,0.4291180453584914,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 side 的同批完整病例
TCGA-COADREAD,OX6,M1+side,365,85,0.9101002387831797,0.7315017978493468,1.1323040450049393,0.39802108538261094,8,10.625,age;male;stg_II;stg_III;stg_IV;stg_Unknown;site_rectum,,367,M1 + side
TCGA-COADREAD,OX6,M1(cc:chemo+mmr+side),216,33,1.006073459450376,0.6851715731051754,1.4772705779710957,0.9753538587849734,7,4.714285714285714,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo+mmr+side 的同批完整病例
TCGA-COADREAD,OX6,M1+chemo+mmr+side,216,33,0.9937813544665336,0.681462782791805,1.4492374424900352,0.9741474656648372,10,3.3,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;site_rectum,,367,M1 + chemo+mmr+side
GSE17538,OX3,M1,232,93,1.1307494346319589,0.9124851000895707,1.401222095347076,0.2614407310628104,6,15.5,age;male;stg_II;stg_III;stg_IV,,232,主模型（本文口径）
GSE17538,OX4,M1,232,93,1.1748763799811854,0.935298975513583,1.475821683093086,0.16602356023207143,6,15.5,age;male;stg_II;stg_III;stg_IV,,232,主模型（本文口径）
GSE17538,OX5,M1,232,93,1.005679862029632,0.8195321879826115,1.2341089218003956,0.9567490384093149,6,15.5,age;male;stg_II;stg_III;stg_IV,,232,主模型（本文口径）
GSE17538,OX5_noNRF2,M1,232,93,1.0273212011889885,0.8384120238201911,1.2587949843604922,0.7948711649342521,6,15.5,age;male;stg_II;stg_III;stg_IV,,232,主模型（本文口径）
GSE17538,OX6,M1,232,93,1.1656701578894628,0.9273394393817477,1.4652530231000866,0.1889912981364305,6,15.5,age;male;stg_II;stg_III;stg_IV,,232,主模型（本文口径）
