cohort,set,gene,measured,clean_member,exclusion_set
TCGA-COADREAD,S_mito,BDH1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BID,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BIK,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BLOC1S1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BNIP3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BNIP3L,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BOK,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BOLA1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BOLA3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,BPHL,True,True,OX6_fixed
TCGA-COADREAD,S_mito,C12ORF65,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C15ORF48,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C15ORF61,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C16ORF91,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C1QBP,True,True,OX6_fixed
TCGA-COADREAD,S_mito,C2ORF69,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C3ORF33,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C5ORF63,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C6ORF136,False,False,OX6_fixed
TCGA-COADREAD,S_mito,C8ORF82,False,False,OX6_fixed
TCGA-COADREAD,S_mito,CA5A,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CA5B,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CARS2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CASP3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CASP8,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CASP9,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CAT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CBR3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CBR4,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CCDC127,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CCDC51,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CCDC58,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CCDC90B,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CDK5RAP1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CEP89,False,False,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD4,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD5,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD6,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHCHD7,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHDH,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CHPT1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CISD1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CISD3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CKMT1A,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CKMT1B,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CKMT2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CLPB,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CLPP,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CLPX,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CLYBL,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CMC1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,CMC2,False,False,OX6_fixed
TCGA-COADREAD,S_mito,CMC4,False,False,OX6_fixed
TCGA-COADREAD,S_mito,CMPK2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COA1,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COA3,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COA4,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COA5,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COA6,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COA7,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COA8,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COASY,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COMT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COMTD1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ10A,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ10B,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ4,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ5,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ6,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ7,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COQ8A,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COQ8B,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COQ9,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COX10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COX11,True,True,OX6_fixed
TCGA-COADREAD,S_mito,COX14,False,False,OX6_fixed
TCGA-COADREAD,S_mito,COX15,True,True,OX6_fixed
