file,sheet,row,values
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,1,Oxeiptosis-related genes | lncRNA | Correlation | P-value | Regulation
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,292,KEAP1 | AL121655.1 | -0.260572862144451 | 3.09113368699176e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,293,KEAP1 | AL355385.1 | -0.240204281913869 | 2.53779379745086e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,297,KEAP1 | AC074029.3 | -0.208677186702128 | 4.65217697856529e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,299,KEAP1 | AC073367.1 | -0.253452488849531 | 6.58785824087832e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,302,KEAP1 | AC073569.1 | -0.31398816734263 | 5.0352283610976e-10 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,305,KEAP1 | AC007342.1 | -0.305290437338046 | 1.57093220835329e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,308,KEAP1 | LINC01985 | -0.200092736084175 | 9.56505639183745e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,310,KEAP1 | AC002553.2 | -0.376799197067349 | 4.27008439545696e-14 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,311,KEAP1 | AL355073.2 | -0.256697613238421 | 4.6793236354843e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,316,KEAP1 | AC019080.3 | -0.2843516190378 | 2.09262025025801e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,318,KEAP1 | AC017006.2 | -0.271152173614869 | 9.63074851387363e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,320,KEAP1 | AC092828.1 | -0.242710101657918 | 1.97793620791944e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,326,KEAP1 | SSBP3-AS1 | -0.225272796887052 | 1.05994438962134e-05 | negative
